Category,count,mean
ART_AND_DESIGN,65,26376.0
AUTO_AND_VEHICLES,85,13690.188235294117
BEAUTY,53,7476.226415094339
BOOKS_AND_REFERENCE,231,95060.90476190476
BUSINESS,460,30335.982608695653
COMICS,60,56387.933333333334
COMMUNICATION,387,2107137.622739018
DATING,234,31159.30769230769
EDUCATION,156,253819.14102564103
ENTERTAINMENT,149,397168.8187919463
EVENTS,64,2515.90625
FAMILY,1972,208025.5223123732
FINANCE,366,47952.8087431694
FOOD_AND_DRINK,127,69947.48031496063
GAME,1144,1385858.6966783216
HEALTH_AND_FITNESS,341,111125.34604105572
HOUSE_AND_HOME,88,45186.193181818184
LIBRARIES_AND_DEMO,85,12201.388235294118
LIFESTYLE,382,33724.56544502618
MAPS_AND_NAVIGATION,137,223790.17518248176
MEDICAL,463,3425.4319654427645
NEWS_AND_MAGAZINES,283,192229.19787985866
PARENTING,60,15972.183333333332
PERSONALIZATION,392,227923.82653061225
PHOTOGRAPHY,335,637363.1343283582
PRODUCTIVITY,424,269143.80896226416
SHOPPING,260,442466.23846153845
SOCIAL,295,2105903.125423729
SPORTS,384,184453.56510416666
TOOLS,843,324062.9228944247
TRAVEL_AND_LOCAL,258,242705.11240310076
VIDEO_PLAYERS,175,630743.9314285715
WEATHER,82,178106.5243902439
