Category,count,mean,rating
DATING(17+),201,35872.17413,Mature 17+
GAME(17+),74,937666.7027,Mature 17+
SOCIAL(17+),67,898882.7015,Mature 17+
FAMILY(17+),50,33133.1,Mature 17+
NEWS & MAGAZINES(17+),14,2621264.286,Mature 17+
FAMILY(10+),131,1217822.985,Everyone 10+
GAME(10+),131,3871451.321,Everyone 10+
NEWS & MAGAZINES(10+),66,124419.9394,Everyone 10+
SPORTS(10+),22,230376.2727,Everyone 10+
MEDICAL(10+),9,176.7777778,Everyone 10+
GAME(T),331,556496.9154,Teen
FAMILY(T),261,207195.4061,Teen
SOCIAL(T),125,4379743.704,Teen
ENTERTAINMENT(T),96,502765.2396,Teen
PERSONALIZATION(T),56,799792.4643,Teen
